"graph","embedder","pk_ratio","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","struc2vec",0.186666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","verse",1,"100-0"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_7","spring",0.678,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_18","spring",0.674,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_25","spring",0.702,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_24","spring",0.712,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_22","spring",0.652,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_13","spring",0.654,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_46","spring",0.692,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_49","spring",0.662,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_5","spring",0.688,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_0","spring",0.72,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_12","spring",0.716,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_8","spring",0.678,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_23","spring",0.71,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_2","spring",0.68,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_31","spring",0.7,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_16","spring",0.676,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_44","spring",0.712,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_43","spring",0.716,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_29","spring",0.64,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_38","spring",0.658,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_26","spring",0.704,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_14","spring",0.692,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_35","spring",0.714,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_39","spring",0.672,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_32","spring",0.694,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_19","spring",0.654,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_37","spring",0.7,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_20","spring",0.602,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_47","spring",0.656,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_28","spring",0.656,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_42","spring",0.68,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_34","spring",0.698,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_27","spring",0.668,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_36","spring",0.689333333333333,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_48","spring",0.702,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_4","spring",0.658,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_45","spring",0.672,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_17","spring",0.75,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_21","spring",0.676,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_1","spring",0.7,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_41","spring",0.664,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_10","spring",0.728,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_30","spring",0.694,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_40","spring",0.676,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_6","spring",0.726,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_11","spring",0.696,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_15","spring",0.662,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_9","spring",0.664,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_3","spring",0.696,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_33","spring",0.69,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_7","node2vec",0.372,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_18","node2vec",0.348,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_25","node2vec",0.354,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_24","node2vec",0.344,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_13","node2vec",0.402,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_22","node2vec",0.344,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_46","node2vec",0.356,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_49","node2vec",0.328,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_0","node2vec",0.314,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_5","node2vec",0.36,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_8","node2vec",0.326,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_12","node2vec",0.35,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_23","node2vec",0.332,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_2","node2vec",0.332,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_31","node2vec",0.392,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_16","node2vec",0.344,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_44","node2vec",0.356,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_29","node2vec",0.374,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_43","node2vec",0.354,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_38","node2vec",0.31,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_14","node2vec",0.336,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_26","node2vec",0.32,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_35","node2vec",0.408,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_39","node2vec",0.334,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_32","node2vec",0.326,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_37","node2vec",0.318,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_19","node2vec",0.368,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_20","node2vec",0.394,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_47","node2vec",0.33,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_42","node2vec",0.314,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_28","node2vec",0.382,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_27","node2vec",0.342,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_34","node2vec",0.338,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_36","node2vec",0.303555555555556,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_48","node2vec",0.34,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_45","node2vec",0.35,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_4","node2vec",0.376,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_17","node2vec",0.34,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_41","node2vec",0.352,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_21","node2vec",0.382,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_1","node2vec",0.332,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_10","node2vec",0.314,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_30","node2vec",0.32,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_40","node2vec",0.338,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_6","node2vec",0.34,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_11","node2vec",0.324,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_15","node2vec",0.33,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_9","node2vec",0.408,"90-10"
