edgelist,group,embedder,similarity_metric,type,value
input_data/geometric_graphs/graph_sample_17,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9792857142857144
input_data/geometric_graphs/graph_sample_44,geometric_graphs,spring,EuclidianDistance,f_score,0.8715596330275229
input_data/geometric_graphs/graph_sample_44,geometric_graphs,spring,None,time,0.1159777641296386
input_data/geometric_graphs/graph_sample_44,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9016190476190477
input_data/geometric_graphs/graph_sample_13,geometric_graphs,spring,EuclidianDistance,f_score,0.9357798165137614
input_data/geometric_graphs/graph_sample_13,geometric_graphs,spring,None,time,0.1244165897369384
input_data/geometric_graphs/graph_sample_13,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9575873015873017
input_data/geometric_graphs/graph_sample_10,geometric_graphs,spring,EuclidianDistance,f_score,0.8888888888888888
input_data/geometric_graphs/graph_sample_10,geometric_graphs,spring,None,time,0.1480226516723632
input_data/geometric_graphs/graph_sample_10,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.912309523809524
input_data/geometric_graphs/graph_sample_40,geometric_graphs,spring,EuclidianDistance,f_score,0.8105263157894735
input_data/geometric_graphs/graph_sample_40,geometric_graphs,spring,None,time,0.1183757781982421
input_data/geometric_graphs/graph_sample_40,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.8761904761904762
input_data/geometric_graphs/graph_sample_45,geometric_graphs,spring,EuclidianDistance,f_score,0.771362586605081
input_data/geometric_graphs/graph_sample_45,geometric_graphs,spring,None,time,0.1482224464416504
input_data/geometric_graphs/graph_sample_45,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.7646428571428571
input_data/geometric_graphs/graph_sample_39,geometric_graphs,spring,EuclidianDistance,f_score,0.935960591133005
input_data/geometric_graphs/graph_sample_39,geometric_graphs,spring,None,time,0.1329498291015625
input_data/geometric_graphs/graph_sample_39,geometric_graphs,spring,EuclidianDistance,pk_ratio,0.9827777777777778
input_data/geometric_graphs/graph_sample_25,geometric_graphs,spring,EuclidianDistance,f_score,0.9345794392523364
