edgelist,group,embedder,similarity_metric,type,value
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_42,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8793019873969946
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_42,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5572361946105957
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_42,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8329340331848072
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_41,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8615537848605578
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_41,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.4962685108184814
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_41,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8163767527908894
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_28,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8634760705289672
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_28,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.6055824756622314
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_28,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8152819189510366
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8732125834127741
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1451542377471923
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.8083695846807052
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_15,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8552317247969421
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_15,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1442468166351318
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_15,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.7737764688486978
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8499515972894481
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1514782905578613
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.7665041094689806
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_36,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8714285714285714
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_36,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1111032962799072
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_36,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.8108647235120187
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_4,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8518703241895262
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_4,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1499764919281005
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_4,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.7889326270788761
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_1,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8621673003802282
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_1,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1248703002929687
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_1,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.7854161261979098
